Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2018,1,1,0,30,0,0,0,0,4,-11.5,158.21,0.13,4.2,0.3,294,91.45,-10.4,1009,N/A
2018,1,1,1,30,0,0,0,0,4,-11.5,153.77,0.13,4.1,0.3,293,92.36,-10.5,1009,N/A
2018,1,1,2,30,0,0,0,0,4,-11.4,145.39,0.13,4,0.3,293,92.78,-10.5,1010,N/A
2018,1,1,3,30,0,0,0,0,4,-11.4,135.38,0.13,4,0.3,293,93.62,-10.6,1010,N/A
2018,1,1,4,30,0,0,0,0,4,-11.4,124.8,0.13,3.9,0.3,294,94.35,-10.7,1011,N/A
2018,1,1,5,30,0,0,0,0,4,-11.5,114.17,0.13,3.7,0.3,295,94.93,-10.8,1011,N/A
2018,1,1,6,30,0,0,0,0,4,-11.5,103.82,0.13,3.6,0.3,297,95.29,-10.9,1011,N/A
2018,1,1,7,30,0,0,0,0,4,-11.6,94.06,0.13,3.5,0.3,298,94.75,-10.9,1012,N/A
2018,1,1,8,30,20,0,20,70,4,-11.6,85.04,0.13,3.3,0.3,299,90.65,-10.4,1012,N/A
2018,1,1,9,30,65,0,65,203,4,-11.6,77.61,0.13,3.1,0.3,298,85.07,-9.6,1012,N/A
2018,1,1,10,30,119,30,128,316,4,-11.6,71.89,0.13,3,0.3,295,81.44,-9,1012,N/A
2018,1,1,11,30,148,78,177,384,4,-11.4,68.44,0.13,2.9,0.3,291,78.03,-8.3,1011,N/A
2018,1,1,12,30,138,14,143,400,4,-11.3,67.62,0.13,2.9,0.3,289,76.81,-7.9,1011,N/A
2018,1,1,13,30,127,15,132,362,4,-11.1,69.54,0.13,2.9,0.3,288,75.86,-7.6,1011,N/A
2018,1,1,14,30,92,1,92,274,4,-11.1,73.98,0.13,2.9,0.3,289,76.29,-7.6,1011,N/A
2018,1,1,15,30,45,0,45,149,4,-11.1,80.47,0.13,2.9,0.3,292,77.99,-7.9,1011,N/A
2018,1,1,16,30,6,0,6,24,4,-11.3,88.33,0.13,3,0.3,295,79.85,-8.4,1012,N/A
2018,1,1,17,30,0,0,0,0,4,-11.4,97.95,0.13,3,0.3,298,81.2,-8.8,1012,N/A
2018,1,1,18,30,0,0,0,0,4,-11.5,107.98,0.13,3.1,0.3,298,83.07,-9.2,1012,N/A
2018,1,1,19,30,0,0,0,0,4,-11.7,118.48,0.13,3.1,0.3,298,82.74,-9.3,1013,N/A
2018,1,1,20,30,0,0,0,0,4,-11.8,129.13,0.13,3,0.3,293,84.32,-9.7,1013,N/A
2018,1,1,21,30,0,0,0,0,4,-11.9,139.55,0.13,3,0.3,289,84.53,-9.8,1012,N/A
2018,1,1,22,30,0,0,0,0,4,-11.9,149.07,0.13,3.1,0.3,285,84.89,-9.8,1012,N/A
2018,1,1,23,30,0,0,0,0,4,-11.8,156.17,0.13,3.1,0.3,284,84.59,-9.7,1012,N/A
2018,1,2,0,30,0,0,0,0,4,-11.8,158.14,0.13,3.2,0.3,283,84.91,-9.7,1012,N/A
2018,1,2,1,30,0,0,0,0,4,-11.7,153.75,0.13,3.4,0.2,284,85.01,-9.7,1012,N/A
2018,1,2,2,30,0,0,0,0,4,-11.8,145.4,0.13,3.5,0.2,284,86.13,-9.9,1012,N/A
2018,1,2,3,30,0,0,0,0,4,-11.8,135.4,0.13,3.6,0.2,285,87.73,-10.2,1012,N/A
2018,1,2,4,30,0,0,0,0,4,-11.9,124.82,0.13,3.6,0.2,285,88.45,-10.4,1012,N/A
2018,1,2,5,30,0,0,0,0,4,-12.1,114.19,0.13,3.7,0.2,285,88.31,-10.5,1012,N/A
2018,1,2,6,30,0,0,0,0,4,-12.1,103.84,0.13,3.7,0.2,284,88.45,-10.6,1013,N/A
2018,1,2,7,30,0,0,0,0,4,-12.2,94.07,0.13,3.8,0.3,284,87.66,-10.5,1013,N/A
2018,1,2,8,30,32,68,38,69,4,-12.1,85.03,0.13,3.9,0.3,283,84.85,-10,1013,N/A
2018,1,2,9,30,77,226,126,202,4,-11.9,77.58,0.13,4,0.3,282,81.7,-9.4,1013,N/A
2018,1,2,10,30,121,150,168,315,4,-11.9,71.84,0.13,4.1,0.3,282,79.49,-9,1013,N/A
2018,1,2,11,30,150,82,180,384,4,-11.8,68.36,0.13,4.3,0.3,282,77.95,-8.6,1013,N/A
2018,1,2,12,30,155,56,176,400,4,-11.6,67.53,0.13,4.5,0.3,283,76.92,-8.3,1012,N/A
2018,1,2,13,30,144,90,176,363,4,-11.5,69.43,0.13,4.6,0.3,285,76.89,-8.2,1012,N/A
2018,1,2,14,30,109,163,154,275,4,-11.5,73.85,0.13,4.6,0.3,287,77.25,-8.2,1012,N/A
2018,1,2,15,30,62,96,78,150,4,-11.4,80.34,0.13,4.6,0.3,287,79.46,-8.5,1013,N/A
2018,1,2,16,30,10,11,10,24,4,-11.4,88.2,0.13,4.5,0.3,287,82.05,-8.9,1014,N/A
2018,1,2,17,30,0,0,0,0,4,-11.5,97.81,0.13,4.5,0.3,287,83.67,-9.2,1014,N/A
2018,1,2,18,30,0,0,0,0,4,-11.5,107.84,0.13,4.5,0.3,287,84.18,-9.3,1015,N/A
2018,1,2,19,30,0,0,0,0,4,-11.5,118.34,0.13,4.5,0.3,287,84.82,-9.4,1015,N/A
2018,1,2,20,30,0,0,0,0,4,-11.6,128.99,0.13,4.5,0.2,285,84.6,-9.5,1016,N/A
2018,1,2,21,30,0,0,0,0,4,-11.8,139.41,0.13,4.4,0.2,284,83.87,-9.6,1016,N/A
2018,1,2,22,30,0,0,0,0,4,-12,148.93,0.13,4.3,0.2,283,83.62,-9.7,1016,N/A
2018,1,2,23,30,0,0,0,0,4,-12,156.05,0.13,4.3,0.2,282,85.09,-10,1016,N/A
2018,1,3,0,30,0,0,0,0,4,-12,158.06,0.13,4.2,0.3,282,86.91,-10.2,1017,N/A
2018,1,3,1,30,0,0,0,0,4,-11.8,153.72,0.13,4,0.3,281,88.3,-10.2,1017,N/A
2018,1,3,2,30,0,0,0,0,4,-11.4,145.41,0.13,3.9,0.3,279,90.21,-10.1,1018,N/A
2018,1,3,3,30,0,0,0,0,4,-10.9,135.42,0.13,3.7,0.3,275,91.43,-9.8,1018,N/A
2018,1,3,4,30,0,0,0,0,4,-10.4,124.85,0.13,3.5,0.4,271,91.53,-9.3,1019,N/A
2018,1,3,5,30,0,0,0,0,8,-9.9,114.21,0.13,3.3,0.4,270,91.44,-8.8,1020,N/A
2018,1,3,6,30,0,0,0,0,4,-9.5,103.85,0.13,3.2,0.4,272,91.64,-8.4,1020,N/A
2018,1,3,7,30,0,0,0,0,4,-9.2,94.07,0.13,3.1,0.4,275,90.25,-7.9,1021,N/A
2018,1,3,8,30,32,162,46,68,4,-8.9,85.02,0.13,3,0.4,278,85.35,-6.9,1022,N/A
2018,1,3,9,30,66,390,150,200,4,-8.6,77.55,0.13,2.7,0.4,278,79.53,-5.6,1022,N/A
2018,1,3,10,30,73,623,268,312,0,-8.5,71.79,0.13,2.6,0.4,274,73.11,-4.4,1022,N/A
2018,1,3,11,30,86,684,339,382,0,-8.5,68.29,0.13,2.6,0.4,271,67.76,-3.4,1022,N/A
2018,1,3,12,30,104,589,330,398,4,-8.4,67.43,0.13,2.5,0.4,268,65.33,-2.8,1023,N/A
2018,1,3,13,30,115,433,268,360,7,-8.1,69.31,0.13,2.4,0.4,264,65.3,-2.5,1023,N/A
2018,1,3,14,30,97,332,190,273,7,-7.9,73.72,0.13,2,0.4,259,67.67,-2.7,1024,N/A
2018,1,3,15,30,61,200,95,149,7,-7.3,80.2,0.13,1.6,0.4,239,73.67,-3.3,1024,N/A
2018,1,3,16,30,16,149,21,25,4,-8,88.08,0.13,1.4,0.4,205,73.94,-4,1025,N/A
2018,1,3,17,30,0,0,0,0,7,-8.5,97.67,0.13,1.5,0.4,177,74.4,-4.6,1025,N/A
2018,1,3,18,30,0,0,0,0,4,-8.1,107.7,0.13,1.7,0.4,166,76.79,-4.6,1025,N/A
2018,1,3,19,30,0,0,0,0,4,-7.2,118.19,0.13,1.9,0.5,164,81.48,-4.5,1025,N/A
2018,1,3,20,30,0,0,0,0,4,-6.3,128.84,0.13,2.1,0.5,160,80.98,-3.5,1024,N/A
2018,1,3,21,30,0,0,0,0,7,-5.5,139.27,0.13,2.3,0.5,170,82.4,-2.9,1024,N/A
